exception_id,dataset,exception_type,severity,status,client_id,client_name,region,raised_date,raised_time,sla_deadline,sla_breached,resolved_date,assigned_to,description,root_cause,priority
EXC-2024-0032,Performance,Stale Data,Low,In Progress,CLT0015,Norges Bank Investment Mgmt,EMEA,2025-02-04,12:12,2025-02-06 00:00,True,,Client Services,Stale Data detected in Performance for Norges Bank Investment Mgmt,Feed Failure,P1
EXC-2024-0033,Positions,Schema Mismatch,Low,Resolved,CLT0004,HDFC Pension Fund,APAC,2024-12-30,18:23,2024-12-30 04:00,True,2025-01-02,Client Services,Schema Mismatch detected in Positions for HDFC Pension Fund,System Lag,P1
EXC-2024-0034,Client Data,Missing Performance,Medium,In Progress,CLT0004,HDFC Pension Fund,APAC,2024-11-09,13:23,2024-11-10 00:00,True,,Client Services,Missing Performance detected in Client Data for HDFC Pension Fund,Manual Error,P2
EXC-2024-0035,Securities Reference,Missing Performance,Medium,Open,CLT0002,Aditya Birla Capital,APAC,2024-07-21,12:00,2024-07-21 04:00,True,2024-07-26,Recon Team,Missing Performance detected in Securities Reference for Aditya Birla Capital,Manual Error,P3
EXC-2024-0036,Securities Reference,Missing ISIN,Medium,In Progress,CLT0015,Norges Bank Investment Mgmt,EMEA,2025-05-17,10:23,2025-05-17 08:00,True,2025-05-20,Recon Team,Missing ISIN detected in Securities Reference for Norges Bank Investment Mgmt,System Lag,P2
EXC-2024-0037,Trades,KYC Expired,Medium,Open,CLT0013,GIC Private Ltd Singapore,APAC,2024-12-07,13:51,2024-12-08 00:00,True,2024-12-10,Data Ops,KYC Expired detected in Trades for GIC Private Ltd Singapore,Feed Failure,P1
EXC-2024-0038,Performance,Schema Mismatch,Medium,Closed,CLT0004,HDFC Pension Fund,APAC,2025-05-17,17:58,2025-05-17 04:00,True,,IT Support,Schema Mismatch detected in Performance for HDFC Pension Fund,Config Error,P1
EXC-2024-0039,Client Data,Stale Data,Medium,Resolved,CLT0009,Emirates NBD Asset Mgmt,EMEA,2024-12-21,13:39,2024-12-23 00:00,True,,Data Ops,Stale Data detected in Client Data for Emirates NBD Asset Mgmt,Vendor Issue,P1
EXC-2024-0040,Positions,Invalid Quantity,High,Closed,CLT0001,Tata Investment Corp,APAC,2025-03-19,11:45,2025-03-20 00:00,True,2025-03-20,Data Ops,Invalid Quantity detected in Positions for Tata Investment Corp,Manual Error,P1
EXC-2024-0041,Trades,Invalid Quantity,Medium,Open,CLT0012,Vanguard Emerging Markets,Americas,2024-07-27,17:34,2024-07-27 04:00,True,2024-08-01,Client Services,Invalid Quantity detected in Trades for Vanguard Emerging Markets,Config Error,P2
EXC-2024-0042,Trades,KYC Expired,Low,Open,CLT0007,ICICI Prudential AMC,APAC,2024-12-31,16:07,2025-01-02 00:00,True,2025-01-02,Data Ops,KYC Expired detected in Trades for ICICI Prudential AMC,Manual Error,P1
EXC-2024-0043,Trades,Missing ISIN,Medium,Resolved,CLT0015,Norges Bank Investment Mgmt,EMEA,2024-07-12,14:02,2024-07-12 04:00,True,2024-07-16,Data Ops,Missing ISIN detected in Trades for Norges Bank Investment Mgmt,System Lag,P1
EXC-2024-0044,Positions,Missing ISIN,Low,Closed,CLT0007,ICICI Prudential AMC,APAC,2025-05-26,14:48,2025-05-27 00:00,False,2025-05-29,Recon Team,Missing ISIN detected in Positions for ICICI Prudential AMC,Feed Failure,P3
EXC-2024-0045,Share Prices,KYC Expired,Medium,Resolved,CLT0002,Aditya Birla Capital,APAC,2024-06-08,13:13,2024-06-10 00:00,True,2024-06-09,Recon Team,KYC Expired detected in Share Prices for Aditya Birla Capital,Manual Error,P2
EXC-2024-0046,Share Prices,Recon Break,Medium,In Progress,CLT0013,GIC Private Ltd Singapore,APAC,2025-04-17,09:02,2025-04-17 04:00,True,,Client Services,Recon Break detected in Share Prices for GIC Private Ltd Singapore,System Lag,P2
EXC-2024-0047,Client Data,Missing Performance,Medium,Open,CLT0005,Kotak Mahindra AMC,APAC,2024-12-23,16:19,2024-12-23 08:00,True,,Data Ops,Missing Performance detected in Client Data for Kotak Mahindra AMC,System Lag,P3
EXC-2024-0048,Share Prices,Schema Mismatch,Medium,Closed,CLT0005,Kotak Mahindra AMC,APAC,2025-04-19,13:40,2025-04-21 00:00,True,2025-04-21,Client Services,Schema Mismatch detected in Share Prices for Kotak Mahindra AMC,Config Error,P1
EXC-2024-0049,Trades,Missing Broker,High,Resolved,CLT0006,LIC of India,APAC,2024-10-16,10:57,2024-10-16 04:00,True,2024-10-19,Data Ops,Missing Broker detected in Trades for LIC of India,Feed Failure,P2
EXC-2024-0050,Positions,Stale Data,High,Resolved,CLT0011,BlackRock India Fund,Americas,2025-05-12,18:58,2025-05-12 08:00,True,,Client Services,Stale Data detected in Positions for BlackRock India Fund,Feed Failure,P3
EXC-2024-0051,Performance,Missing Performance,Low,Open,CLT0007,ICICI Prudential AMC,APAC,2025-02-03,15:39,2025-02-04 00:00,True,2025-02-08,Data Ops,Missing Performance detected in Performance for ICICI Prudential AMC,Manual Error,P3
EXC-2024-0052,Client Data,Invalid Quantity,High,In Progress,CLT0011,BlackRock India Fund,Americas,2024-09-28,18:42,2024-09-28 04:00,True,2024-10-03,Data Ops,Invalid Quantity detected in Client Data for BlackRock India Fund,Manual Error,P3
EXC-2024-0053,Share Prices,Duplicate Trade,Medium,Resolved,CLT0001,Tata Investment Corp,APAC,2025-05-20,12:18,2025-05-20 04:00,True,2025-05-24,Data Ops,Duplicate Trade detected in Share Prices for Tata Investment Corp,Config Error,P1
EXC-2024-0054,Trades,Missing Price,Low,Open,CLT0004,HDFC Pension Fund,APAC,2024-10-09,09:57,2024-10-09 04:00,True,,Data Ops,Missing Price detected in Trades for HDFC Pension Fund,Config Error,P2
EXC-2024-0055,Securities Reference,Missing Price,Medium,In Progress,CLT0004,HDFC Pension Fund,APAC,2024-12-30,14:55,2024-12-30 04:00,True,2025-01-03,Data Ops,Missing Price detected in Securities Reference for HDFC Pension Fund,Manual Error,P2
EXC-2024-0056,Securities Reference,Duplicate Trade,Low,In Progress,CLT0012,Vanguard Emerging Markets,Americas,2025-02-26,11:50,2025-02-26 04:00,True,,Client Services,Duplicate Trade detected in Securities Reference for Vanguard Emerging Markets,Vendor Issue,P3
EXC-2024-0057,Performance,Recon Break,High,In Progress,CLT0013,GIC Private Ltd Singapore,APAC,2024-07-07,09:26,2024-07-07 04:00,True,2024-07-12,IT Support,Recon Break detected in Performance for GIC Private Ltd Singapore,Manual Error,P1
EXC-2024-0058,Performance,Duplicate Trade,Medium,In Progress,CLT0009,Emirates NBD Asset Mgmt,EMEA,2024-11-30,15:34,2024-12-01 00:00,True,2024-12-01,Client Services,Duplicate Trade detected in Performance for Emirates NBD Asset Mgmt,System Lag,P1
EXC-2024-0059,Client Data,Missing Broker,Low,Open,CLT0015,Norges Bank Investment Mgmt,EMEA,2024-07-12,13:13,2024-07-14 00:00,True,,Client Services,Missing Broker detected in Client Data for Norges Bank Investment Mgmt,Manual Error,P2
EXC-2024-0060,Securities Reference,Schema Mismatch,Medium,Closed,CLT0003,SBI Life Insurance,APAC,2025-01-04,14:33,2025-01-06 00:00,True,2025-01-09,Data Ops,Schema Mismatch detected in Securities Reference for SBI Life Insurance,Feed Failure,P2
EXC-2024-0061,Share Prices,Missing Broker,Medium,Resolved,CLT0009,Emirates NBD Asset Mgmt,EMEA,2024-08-29,15:37,2024-08-29 04:00,True,2024-09-02,Client Services,Missing Broker detected in Share Prices for Emirates NBD Asset Mgmt,Feed Failure,P2
EXC-2024-0062,Trades,Missing Price,Medium,Open,CLT0015,Norges Bank Investment Mgmt,EMEA,2025-03-17,08:15,2025-03-19 00:00,True,,Data Ops,Missing Price detected in Trades for Norges Bank Investment Mgmt,Feed Failure,P2
EXC-2024-0063,Share Prices,Missing Price,Medium,Open,CLT0006,LIC of India,APAC,2025-02-04,18:42,2025-02-06 00:00,True,2025-02-07,Data Ops,Missing Price detected in Share Prices for LIC of India,Config Error,P1
EXC-2024-0064,Share Prices,Missing Broker,Medium,Resolved,CLT0013,GIC Private Ltd Singapore,APAC,2024-10-07,12:58,2024-10-08 00:00,True,,Recon Team,Missing Broker detected in Share Prices for GIC Private Ltd Singapore,Feed Failure,P1
EXC-2024-0065,Trades,Duplicate Trade,Medium,Resolved,CLT0004,HDFC Pension Fund,APAC,2024-06-23,18:22,2024-06-23 08:00,True,,Recon Team,Duplicate Trade detected in Trades for HDFC Pension Fund,System Lag,P2
EXC-2024-0066,Positions,Missing Performance,Low,Open,CLT0002,Aditya Birla Capital,APAC,2024-09-28,10:40,2024-09-28 08:00,True,2024-09-29,Recon Team,Missing Performance detected in Positions for Aditya Birla Capital,Feed Failure,P3
EXC-2024-0067,Trades,KYC Expired,Low,Closed,CLT0007,ICICI Prudential AMC,APAC,2025-04-29,13:42,2025-04-30 00:00,True,2025-05-04,IT Support,KYC Expired detected in Trades for ICICI Prudential AMC,Feed Failure,P3
EXC-2024-0068,Performance,KYC Expired,Low,In Progress,CLT0007,ICICI Prudential AMC,APAC,2025-01-08,15:05,2025-01-08 04:00,True,,Recon Team,KYC Expired detected in Performance for ICICI Prudential AMC,System Lag,P3
EXC-2024-0069,Client Data,Missing ISIN,Medium,In Progress,CLT0012,Vanguard Emerging Markets,Americas,2024-12-25,13:06,2024-12-25 08:00,True,2024-12-29,Data Ops,Missing ISIN detected in Client Data for Vanguard Emerging Markets,Feed Failure,P2
EXC-2024-0070,Securities Reference,Duplicate Trade,Medium,In Progress,CLT0014,Temasek Holdings,APAC,2025-02-16,11:25,2025-02-16 08:00,True,,Recon Team,Duplicate Trade detected in Securities Reference for Temasek Holdings,Feed Failure,P1
EXC-2024-0071,Performance,Stale Data,High,Open,CLT0008,Nippon India MF,APAC,2025-04-07,10:31,2025-04-07 08:00,True,2025-04-09,Recon Team,Stale Data detected in Performance for Nippon India MF,Manual Error,P3
EXC-2024-0072,Trades,Missing Performance,Low,Open,CLT0006,LIC of India,APAC,2025-04-16,09:27,2025-04-18 00:00,True,2025-04-17,Data Ops,Missing Performance detected in Trades for LIC of India,Vendor Issue,P2
EXC-2024-0073,Client Data,Invalid Quantity,High,Resolved,CLT0002,Aditya Birla Capital,APAC,2024-11-08,10:26,2024-11-08 04:00,True,,Recon Team,Invalid Quantity detected in Client Data for Aditya Birla Capital,Vendor Issue,P2
EXC-2024-0074,Performance,Missing ISIN,Low,Closed,CLT0009,Emirates NBD Asset Mgmt,EMEA,2025-03-08,14:54,2025-03-08 08:00,True,,Recon Team,Missing ISIN detected in Performance for Emirates NBD Asset Mgmt,Feed Failure,P3
EXC-2024-0075,Trades,Recon Break,Medium,Resolved,CLT0015,Norges Bank Investment Mgmt,EMEA,2024-11-02,18:38,2024-11-02 08:00,True,,Recon Team,Recon Break detected in Trades for Norges Bank Investment Mgmt,Config Error,P3
EXC-2024-0076,Securities Reference,Missing Performance,Medium,Resolved,CLT0006,LIC of India,APAC,2024-07-17,17:19,2024-07-18 00:00,True,2024-07-21,Data Ops,Missing Performance detected in Securities Reference for LIC of India,Config Error,P3
EXC-2024-0077,Client Data,KYC Expired,High,Resolved,CLT0013,GIC Private Ltd Singapore,APAC,2024-08-10,14:26,2024-08-10 04:00,True,,Client Services,KYC Expired detected in Client Data for GIC Private Ltd Singapore,System Lag,P2
EXC-2024-0078,Share Prices,Missing Broker,Low,In Progress,CLT0012,Vanguard Emerging Markets,Americas,2025-02-21,08:05,2025-02-21 04:00,True,2025-02-25,Client Services,Missing Broker detected in Share Prices for Vanguard Emerging Markets,Feed Failure,P1
EXC-2024-0079,Trades,Missing Broker,Medium,In Progress,CLT0003,SBI Life Insurance,APAC,2024-06-05,09:15,2024-06-05 04:00,True,2024-06-09,Recon Team,Missing Broker detected in Trades for SBI Life Insurance,System Lag,P3
EXC-2024-0080,Positions,Missing Performance,High,Open,CLT0009,Emirates NBD Asset Mgmt,EMEA,2024-11-30,10:08,2024-12-02 00:00,True,2024-12-05,Client Services,Missing Performance detected in Positions for Emirates NBD Asset Mgmt,Manual Error,P2
EXC-2024-0081,Trades,Missing ISIN,High,Resolved,CLT0014,Temasek Holdings,APAC,2024-10-07,17:16,2024-10-07 04:00,True,,IT Support,Missing ISIN detected in Trades for Temasek Holdings,Manual Error,P2
EXC-2024-0082,Positions,Stale Data,High,Open,CLT0004,HDFC Pension Fund,APAC,2024-08-16,12:41,2024-08-17 00:00,True,,Data Ops,Stale Data detected in Positions for HDFC Pension Fund,System Lag,P2
EXC-2024-0083,Trades,Missing Price,Medium,Open,CLT0004,HDFC Pension Fund,APAC,2024-07-16,15:23,2024-07-16 04:00,True,,IT Support,Missing Price detected in Trades for HDFC Pension Fund,Vendor Issue,P3
EXC-2024-0084,Positions,Invalid Quantity,Medium,Open,CLT0002,Aditya Birla Capital,APAC,2025-01-25,16:17,2025-01-25 04:00,True,2025-01-30,Data Ops,Invalid Quantity detected in Positions for Aditya Birla Capital,Vendor Issue,P1
EXC-2024-0085,Trades,Stale Data,Medium,Resolved,CLT0009,Emirates NBD Asset Mgmt,EMEA,2024-11-02,17:09,2024-11-04 00:00,True,2024-11-05,Data Ops,Stale Data detected in Trades for Emirates NBD Asset Mgmt,Config Error,P3
EXC-2024-0086,Trades,Invalid Quantity,High,In Progress,CLT0012,Vanguard Emerging Markets,Americas,2025-02-05,13:42,2025-02-05 08:00,True,2025-02-09,IT Support,Invalid Quantity detected in Trades for Vanguard Emerging Markets,Feed Failure,P1
EXC-2024-0087,Share Prices,Duplicate Trade,Medium,Open,CLT0006,LIC of India,APAC,2024-11-23,10:58,2024-11-23 08:00,True,2024-11-28,IT Support,Duplicate Trade detected in Share Prices for LIC of India,Feed Failure,P3
EXC-2024-0088,Share Prices,Missing Price,Low,In Progress,CLT0008,Nippon India MF,APAC,2025-01-20,16:22,2025-01-20 04:00,True,2025-01-23,Data Ops,Missing Price detected in Share Prices for Nippon India MF,Vendor Issue,P1
EXC-2024-0089,Client Data,Missing Performance,Low,In Progress,CLT0011,BlackRock India Fund,Americas,2025-03-30,11:45,2025-03-31 00:00,True,2025-03-31,IT Support,Missing Performance detected in Client Data for BlackRock India Fund,Config Error,P1
EXC-2024-0090,Trades,Recon Break,Medium,Resolved,CLT0006,LIC of India,APAC,2024-11-02,12:01,2024-11-02 04:00,True,2024-11-06,Data Ops,Recon Break detected in Trades for LIC of India,System Lag,P2
EXC-2024-0091,Share Prices,Schema Mismatch,High,In Progress,CLT0005,Kotak Mahindra AMC,APAC,2024-09-15,13:00,2024-09-15 08:00,True,2024-09-16,Client Services,Schema Mismatch detected in Share Prices for Kotak Mahindra AMC,Vendor Issue,P3
EXC-2024-0092,Securities Reference,Missing Price,Low,Closed,CLT0003,SBI Life Insurance,APAC,2025-02-11,14:10,2025-02-12 00:00,True,,Recon Team,Missing Price detected in Securities Reference for SBI Life Insurance,Manual Error,P2
EXC-2024-0093,Securities Reference,Missing Performance,Medium,Open,CLT0001,Tata Investment Corp,APAC,2024-11-24,10:12,2024-11-24 08:00,True,,Client Services,Missing Performance detected in Securities Reference for Tata Investment Corp,Config Error,P3
EXC-2024-0094,Positions,Schema Mismatch,High,Open,CLT0005,Kotak Mahindra AMC,APAC,2024-08-18,12:27,2024-08-18 04:00,True,2024-08-20,Data Ops,Schema Mismatch detected in Positions for Kotak Mahindra AMC,System Lag,P1
EXC-2024-0095,Securities Reference,Schema Mismatch,High,Open,CLT0005,Kotak Mahindra AMC,APAC,2024-11-20,09:51,2024-11-22 00:00,True,,Recon Team,Schema Mismatch detected in Securities Reference for Kotak Mahindra AMC,Feed Failure,P1
EXC-2024-0096,Performance,Missing Performance,Low,Open,CLT0011,BlackRock India Fund,Americas,2025-02-16,17:14,2025-02-16 04:00,True,2025-02-21,Data Ops,Missing Performance detected in Performance for BlackRock India Fund,Vendor Issue,P2
EXC-2024-0097,Trades,KYC Expired,Medium,Open,CLT0004,HDFC Pension Fund,APAC,2025-02-26,10:05,2025-02-27 00:00,True,2025-03-01,Data Ops,KYC Expired detected in Trades for HDFC Pension Fund,System Lag,P2
EXC-2024-0098,Performance,Invalid Quantity,High,In Progress,CLT0007,ICICI Prudential AMC,APAC,2025-04-24,08:29,2025-04-26 00:00,True,2025-04-28,IT Support,Invalid Quantity detected in Performance for ICICI Prudential AMC,Config Error,P3
EXC-2024-0099,Performance,Recon Break,Low,Closed,CLT0012,Vanguard Emerging Markets,Americas,2025-02-04,11:09,2025-02-06 00:00,True,,Data Ops,Recon Break detected in Performance for Vanguard Emerging Markets,System Lag,P3
EXC-2024-0100,Trades,Missing Price,Medium,Open,CLT0008,Nippon India MF,APAC,2024-06-19,10:21,2024-06-20 00:00,True,,Client Services,Missing Price detected in Trades for Nippon India MF,Config Error,P3
EXC-2024-0101,Trades,Missing Performance,Medium,Open,CLT0013,GIC Private Ltd Singapore,APAC,2024-09-20,08:40,2024-09-22 00:00,True,,Client Services,Missing Performance detected in Trades for GIC Private Ltd Singapore,System Lag,P3
EXC-2024-0102,Positions,KYC Expired,Medium,Resolved,CLT0014,Temasek Holdings,APAC,2024-08-15,11:18,2024-08-17 00:00,True,2024-08-17,Recon Team,KYC Expired detected in Positions for Temasek Holdings,Manual Error,P1
EXC-2024-0103,Share Prices,Duplicate Trade,Low,Open,CLT0009,Emirates NBD Asset Mgmt,EMEA,2024-09-07,18:31,2024-09-09 00:00,True,,Recon Team,Duplicate Trade detected in Share Prices for Emirates NBD Asset Mgmt,Feed Failure,P2
EXC-2024-0104,Performance,Missing Price,High,Open,CLT0005,Kotak Mahindra AMC,APAC,2025-03-08,11:19,2025-03-09 00:00,True,,IT Support,Missing Price detected in Performance for Kotak Mahindra AMC,Manual Error,P1
EXC-2024-0105,Share Prices,Missing Performance,Medium,In Progress,CLT0008,Nippon India MF,APAC,2025-04-06,12:49,2025-04-06 08:00,True,,Client Services,Missing Performance detected in Share Prices for Nippon India MF,Vendor Issue,P2
EXC-2024-0106,Client Data,Missing ISIN,Low,Open,CLT0003,SBI Life Insurance,APAC,2025-05-16,11:52,2025-05-16 04:00,True,2025-05-20,Recon Team,Missing ISIN detected in Client Data for SBI Life Insurance,Config Error,P1
EXC-2024-0107,Client Data,Schema Mismatch,Medium,In Progress,CLT0006,LIC of India,APAC,2025-05-14,16:10,2025-05-15 00:00,True,2025-05-18,Client Services,Schema Mismatch detected in Client Data for LIC of India,Config Error,P2
EXC-2024-0108,Performance,Missing Broker,Low,Resolved,CLT0006,LIC of India,APAC,2024-12-06,17:16,2024-12-08 00:00,True,2024-12-08,Data Ops,Missing Broker detected in Performance for LIC of India,Feed Failure,P3
EXC-2024-0109,Share Prices,Stale Data,Medium,Open,CLT0013,GIC Private Ltd Singapore,APAC,2025-05-15,17:41,2025-05-17 00:00,True,,Recon Team,Stale Data detected in Share Prices for GIC Private Ltd Singapore,Feed Failure,P3
EXC-2024-0110,Securities Reference,Missing ISIN,Medium,In Progress,CLT0003,SBI Life Insurance,APAC,2025-05-10,14:56,2025-05-11 00:00,True,2025-05-13,IT Support,Missing ISIN detected in Securities Reference for SBI Life Insurance,Vendor Issue,P1
EXC-2024-0111,Securities Reference,KYC Expired,Medium,Open,CLT0003,SBI Life Insurance,APAC,2025-05-07,13:05,2025-05-07 04:00,True,2025-05-09,Data Ops,KYC Expired detected in Securities Reference for SBI Life Insurance,Config Error,P2
EXC-2024-0112,Positions,Invalid Quantity,Low,Resolved,CLT0002,Aditya Birla Capital,APAC,2024-08-12,15:51,2024-08-14 00:00,True,2024-08-15,Client Services,Invalid Quantity detected in Positions for Aditya Birla Capital,Feed Failure,P3
EXC-2024-0113,Securities Reference,Duplicate Trade,Medium,Open,CLT0005,Kotak Mahindra AMC,APAC,2025-05-19,18:20,2025-05-20 00:00,True,,Data Ops,Duplicate Trade detected in Securities Reference for Kotak Mahindra AMC,System Lag,P2
EXC-2024-0114,Positions,Schema Mismatch,High,In Progress,CLT0015,Norges Bank Investment Mgmt,EMEA,2024-11-27,12:17,2024-11-28 00:00,True,2024-11-30,Data Ops,Schema Mismatch detected in Positions for Norges Bank Investment Mgmt,Manual Error,P1
