position_id,client_id,client_name,security_id,ticker,security_name,position_date,quantity,market_price,market_value,cost_basis,unrealised_pnl,currency,portfolio_id,region,sector,asset_class,custodian,source_system,validated,recon_status,days_since_update
POS-00016,CLT0006,LIC of India,INE213A01029,MARUTI,Maruti Suzuki India Ltd,2025-01-15,111904,12897.1,1443237078.4,1377396357.57,65840720.83,INR,PORT-049,APAC,Auto,Equity,Citi India,Charles River,True,Break,4
POS-00017,CLT0008,Nippon India MF,INE361B01024,HCLTECH,HCL Technologies Ltd,2025-02-28,21558,1703.17,36716938.86,34286411.23,2430527.63,INR,PORT-022,APAC,IT,Equity,Axis Bank Custody,Simcorp,True,Matched,1
POS-00018,CLT0005,Kotak Mahindra AMC,INE090A01021,ICICIBANK,ICICI Bank Ltd,2024-12-29,37896,1295.2,49082899.2,44350287.78,4732611.42,INR,PORT-044,APAC,Banking,Equity,Citi India,Simcorp,True,Matched,4
POS-00019,CLT0010,Abu Dhabi Investment Auth,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-05-05,97022,262.18,25437227.96,22533344.9,2903883.06,INR,PORT-010,EMEA,Energy,Equity,HDFC Bank Custody,In-house,True,Matched,7
POS-00020,CLT0006,LIC of India,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2024-05-10,111839,7684.01,859371994.39,746267137.44,113104856.95,INR,PORT-009,APAC,NBFC,Equity,Deutsche Bank,Charles River,True,Matched,9
POS-00021,CLT0010,Abu Dhabi Investment Auth,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-13,137000,3101.03,424841110.0,382248785.33,42592324.67,INR,PORT-008,EMEA,Energy,Equity,Deutsche Bank,In-house,True,Matched,2
POS-00022,CLT0007,ICICI Prudential AMC,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2024-02-27,2080,7014.36,14589868.8,14869462.9,-279594.1,INR,PORT-001,APAC,NBFC,Equity,Axis Bank Custody,Charles River,True,Matched,3
POS-00023,CLT0004,HDFC Pension Fund,INE009A01021,INFY,Infosys Ltd,2024-08-18,67243,1551.93,104356428.99,104375306.07,-18877.08,INR,PORT-035,APAC,IT,Equity,HDFC Bank Custody,Simcorp,True,Matched,5
POS-00024,CLT0011,BlackRock India Fund,INE090A01021,ICICIBANK,ICICI Bank Ltd,2024-05-06,8778,1139.86,10005691.08,10229745.15,-224054.07,INR,PORT-003,Americas,Banking,Equity,Deutsche Bank,Simcorp,True,Matched,7
POS-00025,CLT0010,Abu Dhabi Investment Auth,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2025-03-10,54020,6690.03,361395420.6,357162237.44,4233183.16,INR,PORT-041,EMEA,NBFC,Equity,HDFC Bank Custody,Bloomberg AIM,True,Pending,8
POS-00026,CLT0013,GIC Private Ltd Singapore,INE075A01022,WIPRO,Wipro Ltd,2024-12-04,153865,512.02,78781957.3,74954252.46,3827704.84,INR,PORT-007,APAC,IT,Equity,Axis Bank Custody,Bloomberg AIM,True,Pending,4
POS-00027,CLT0005,Kotak Mahindra AMC,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,2025-04-27,189467,1364.64,258554246.88,243661115.23,14893131.65,INR,PORT-030,APAC,Telecom,Equity,Deutsche Bank,In-house,True,Break,8
POS-00028,CLT0015,Norges Bank Investment Mgmt,INE090A01021,ICICIBANK,ICICI Bank Ltd,2024-12-14,93034,1130.38,105163772.92,118060046.82,-12896273.9,INR,PORT-020,EMEA,Banking,Equity,Axis Bank Custody,Charles River,True,Break,9
POS-00029,CLT0015,Norges Bank Investment Mgmt,INE031A01017,POWERGRID,Power Grid Corp of India,2024-03-02,45230,,,13594822.87,694238.73,INR,PORT-041,EMEA,Utilities,Equity,Deutsche Bank,Bloomberg AIM,True,Matched,2
POS-00030,CLT0011,BlackRock India Fund,INE001A01036,SBIN,State Bank of India,2024-05-06,87941,723.99,63668404.59,71001618.11,-7333213.52,INR,PORT-047,Americas,Banking,Equity,Citi India,Simcorp,True,Matched,1
POS-00031,CLT0013,GIC Private Ltd Singapore,INE031A01017,POWERGRID,Power Grid Corp of India,2024-06-27,139199,285.73,39773330.27,44779445.99,-5006115.72,INR,PORT-039,APAC,Utilities,Equity,HDFC Bank Custody,Simcorp,True,Pending,7
POS-00032,CLT0015,Norges Bank Investment Mgmt,INE585B01010,AXISBANK,Axis Bank Ltd,2024-10-04,4424,1099.13,4862551.12,3997735.28,864815.84,INR,PORT-036,EMEA,Banking,Equity,Deutsche Bank,Bloomberg AIM,True,Matched,7
POS-00033,CLT0013,GIC Private Ltd Singapore,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-12-22,105842,2495.31,264108601.02,223795696.03,40312904.99,INR,PORT-042,APAC,Conglomerate,Equity,HDFC Bank Custody,Bloomberg AIM,True,Break,1
POS-00034,CLT0008,Nippon India MF,INE031A01017,POWERGRID,Power Grid Corp of India,2025-05-15,9676,321.42,3110059.92,3182998.04,-72938.12,INR,PORT-049,APAC,Utilities,Equity,Deutsche Bank,Simcorp,False,Matched,6
POS-00035,CLT0002,Aditya Birla Capital,INE031A01017,POWERGRID,Power Grid Corp of India,2024-08-20,81608,299.08,24407320.64,24271193.14,136127.5,INR,PORT-036,APAC,Utilities,Equity,Deutsche Bank,Charles River,True,Matched,10
POS-00036,CLT0012,Vanguard Emerging Markets,INE001A01036,SBIN,State Bank of India,2024-08-05,98190,766.45,75257725.5,74282339.96,975385.54,INR,PORT-030,Americas,Banking,Equity,Axis Bank Custody,In-house,True,Matched,2
POS-00037,CLT0004,HDFC Pension Fund,INE020B01018,NTPC,NTPC Ltd,2025-04-30,44382,393.36,17458103.52,15996840.03,1461263.49,INR,PORT-013,APAC,Utilities,Equity,HDFC Bank Custody,Bloomberg AIM,True,Matched,5
POS-00038,CLT0015,Norges Bank Investment Mgmt,INE467B01029,TCS,Tata Consultancy Services,2024-04-29,70114,3577.31,250819513.34,234777349.7,16042163.64,INR,PORT-029,EMEA,IT,Equity,Citi India,Charles River,True,Matched,8
POS-00039,CLT0007,ICICI Prudential AMC,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-11-24,182734,2473.18,451934074.12,419175823.09,32758251.03,INR,PORT-023,APAC,Conglomerate,Equity,HDFC Bank Custody,Bloomberg AIM,True,Matched,10
POS-00040,CLT0003,SBI Life Insurance,INE090A01021,ICICIBANK,ICICI Bank Ltd,2024-05-03,62822,1222.08,76773509.76,77570331.65,-796821.89,INR,PORT-014,APAC,Banking,Equity,Citi India,Charles River,True,Matched,1
POS-00041,CLT0005,Kotak Mahindra AMC,INE038A01020,HINDALCO,Hindalco Industries Ltd,2024-04-06,51035,631.92,32250037.2,33170880.72,-920843.52,INR,PORT-046,APAC,Metals,Equity,HDFC Bank Custody,In-house,True,Matched,1
POS-00042,CLT0002,Aditya Birla Capital,INE009A01021,INFY,Infosys Ltd,2024-08-24,194603,1627.65,316745572.95,296469224.57,20276348.38,INR,PORT-002,APAC,IT,Equity,Citi India,Charles River,True,Matched,3
POS-00043,CLT0005,Kotak Mahindra AMC,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-05-08,32230,258.15,8320174.5,8004173.14,316001.36,INR,PORT-027,APAC,Energy,Equity,Deutsche Bank,In-house,False,Pending,1
POS-00044,CLT0013,GIC Private Ltd Singapore,INE467B01029,TCS,Tata Consultancy Services,2024-06-16,104421,3929.29,410300391.09,381047638.48,29252752.61,INR,PORT-015,APAC,IT,Equity,Citi India,Bloomberg AIM,True,Break,8
POS-00045,CLT0005,Kotak Mahindra AMC,INE018A01030,LARSEN,Larsen & Toubro Ltd,2024-01-24,59113,3685.64,217869237.32,207002834.19,10866403.13,INR,PORT-024,APAC,Infrastructure,Equity,Citi India,Bloomberg AIM,True,Break,0
POS-00046,CLT0009,Emirates NBD Asset Mgmt,INE038A01020,HINDALCO,Hindalco Industries Ltd,2025-02-09,12883,711.48,9165996.84,8752870.94,413125.9,INR,PORT-033,EMEA,Metals,Equity,HDFC Bank Custody,Charles River,True,Pending,2
POS-00047,CLT0009,Emirates NBD Asset Mgmt,INE361B01024,HCLTECH,HCL Technologies Ltd,2024-08-27,45188,1558.58,70429113.04,70575710.7,-146597.66,INR,PORT-003,EMEA,IT,Equity,Citi India,Charles River,True,Matched,3
POS-00048,CLT0005,Kotak Mahindra AMC,INE009A01021,INFY,Infosys Ltd,2024-02-17,148342,1389.76,206159777.92,194956340.73,11203437.19,INR,PORT-009,APAC,IT,Equity,Axis Bank Custody,Charles River,True,Pending,4
POS-00049,CLT0001,Tata Investment Corp,INE001A01036,SBIN,State Bank of India,2025-02-01,170876,737.76,126065477.76,127276395.58,-1210917.82,INR,PORT-048,APAC,Banking,Equity,Axis Bank Custody,Simcorp,True,Matched,6
POS-00050,CLT0008,Nippon India MF,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,2024-04-04,108613,1597.7,173530990.1,162310150.5,11220839.6,INR,PORT-045,APAC,Pharma,Equity,Citi India,Bloomberg AIM,True,Matched,7
POS-00051,CLT0015,Norges Bank Investment Mgmt,INE154A01025,ITC,ITC Ltd,2024-09-06,183647,433.51,79612810.97,85924441.58,-6311630.61,INR,PORT-007,EMEA,FMCG,Equity,HDFC Bank Custody,Simcorp,True,Matched,9
POS-00052,CLT0006,LIC of India,INE075A01022,WIPRO,Wipro Ltd,2024-05-07,180953,,,83272807.65,10895133.55,INR,PORT-013,APAC,IT,Equity,Citi India,In-house,True,Matched,3
POS-00053,CLT0009,Emirates NBD Asset Mgmt,INE585B01010,AXISBANK,Axis Bank Ltd,2025-01-06,82002,960.26,78743240.52,82160414.43,-3417173.91,INR,PORT-026,EMEA,Banking,Equity,HDFC Bank Custody,Charles River,True,Matched,0
POS-00054,CLT0003,SBI Life Insurance,INE020B01018,NTPC,NTPC Ltd,2024-12-17,108932,389.76,42457336.32,37323858.1,5133478.22,INR,PORT-001,APAC,Utilities,Equity,Deutsche Bank,Bloomberg AIM,True,Matched,7
POS-00055,CLT0002,Aditya Birla Capital,INE361B01024,HCLTECH,HCL Technologies Ltd,2024-12-08,46017,1589.82,73158746.94,70665002.36,2493744.58,INR,PORT-015,APAC,IT,Equity,Deutsche Bank,Charles River,False,Pending,8
POS-00056,CLT0013,GIC Private Ltd Singapore,INE154A01025,ITC,ITC Ltd,2024-11-26,48691,491.7,23941364.7,19681668.7,4259696.0,INR,PORT-028,APAC,FMCG,Equity,Deutsche Bank,Charles River,True,Matched,6
POS-00057,CLT0009,Emirates NBD Asset Mgmt,INE031A01017,POWERGRID,Power Grid Corp of India,2025-04-29,191634,292.86,56121933.24,53414734.49,2707198.75,INR,PORT-029,EMEA,Utilities,Equity,Axis Bank Custody,Simcorp,True,Matched,10
POS-00058,CLT0006,LIC of India,INE009A01021,INFY,Infosys Ltd,2024-12-10,113697,1568.73,178359894.81,169319515.33,9040379.48,INR,PORT-011,APAC,IT,Equity,Axis Bank Custody,Bloomberg AIM,True,Matched,8
POS-00059,CLT0002,Aditya Birla Capital,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-16,178540,2893.32,516573352.8,533769334.16,-17195981.36,INR,PORT-018,APAC,Energy,Equity,HDFC Bank Custody,Charles River,True,Pending,4
POS-00060,CLT0008,Nippon India MF,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,2025-03-30,28075,1845.27,51805955.25,40441527.73,11364427.52,INR,PORT-036,APAC,Pharma,Equity,Axis Bank Custody,In-house,True,Matched,4
POS-00061,CLT0006,LIC of India,INE038A01020,HINDALCO,Hindalco Industries Ltd,2025-02-21,106063,618.53,65603147.39,68553111.7,-2949964.31,INR,PORT-036,APAC,Metals,Equity,Citi India,Bloomberg AIM,True,Matched,2
POS-00062,CLT0008,Nippon India MF,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-07-31,107252,2217.41,237821657.32,233244699.63,4576957.69,INR,PORT-042,APAC,Conglomerate,Equity,Deutsche Bank,Bloomberg AIM,True,Matched,9
POS-00063,CLT0001,Tata Investment Corp,INE031A01017,POWERGRID,Power Grid Corp of India,2024-08-30,112342,306.16,34394626.72,35019966.61,-625339.89,INR,PORT-038,APAC,Utilities,Equity,Deutsche Bank,Charles River,False,Matched,3
POS-00064,CLT0008,Nippon India MF,INE585B01010,AXISBANK,Axis Bank Ltd,2024-07-09,194837,1120.2,218256407.4,177395341.7,40861065.7,INR,PORT-033,APAC,Banking,Equity,Deutsche Bank,Simcorp,True,Matched,7
POS-00065,CLT0015,Norges Bank Investment Mgmt,INE020B01018,NTPC,NTPC Ltd,2024-03-11,138015,350.08,48316291.2,44980937.37,3335353.83,INR,PORT-022,EMEA,Utilities,Equity,Axis Bank Custody,In-house,True,Pending,8
POS-00066,CLT0008,Nippon India MF,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2025-03-24,76950,6833.12,525808584.0,482553389.65,43255194.35,INR,PORT-049,APAC,NBFC,Equity,Citi India,Bloomberg AIM,True,Matched,5
POS-00067,CLT0003,SBI Life Insurance,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-18,92619,3039.58,281522860.02,227655270.55,53867589.47,INR,PORT-008,APAC,Energy,Equity,Citi India,Charles River,True,Matched,9
POS-00068,CLT0009,Emirates NBD Asset Mgmt,INE361B01024,HCLTECH,HCL Technologies Ltd,2025-01-23,19275,1710.55,32970851.25,25906837.55,7064013.7,INR,PORT-015,EMEA,IT,Equity,Citi India,In-house,True,Matched,4
POS-00069,CLT0004,HDFC Pension Fund,INE002A01018,RELIANCE,Reliance Industries Ltd,2025-01-06,133650,3130.92,418447458.0,346927537.38,71519920.62,INR,PORT-032,APAC,Energy,Equity,Deutsche Bank,Bloomberg AIM,True,Matched,8
POS-00070,CLT0009,Emirates NBD Asset Mgmt,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-06-12,192166,2778.93,534015862.38,467184837.41,66831024.97,INR,PORT-027,EMEA,Energy,Equity,HDFC Bank Custody,In-house,False,Matched,7
POS-00071,CLT0004,HDFC Pension Fund,INE038A01020,HINDALCO,Hindalco Industries Ltd,2024-12-13,164247,698.37,114705177.39,94915626.45,19789550.94,INR,PORT-020,APAC,Metals,Equity,HDFC Bank Custody,Charles River,True,Matched,9
POS-00072,CLT0003,SBI Life Insurance,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,2024-02-03,94600,1815.0,171699000.0,147915368.35,23783631.65,INR,PORT-029,APAC,Pharma,Equity,Deutsche Bank,Simcorp,True,Matched,6
POS-00073,CLT0011,BlackRock India Fund,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2025-05-12,39418,,,288632558.65,-5672416.55,INR,PORT-032,Americas,NBFC,Equity,HDFC Bank Custody,Simcorp,True,Break,5
POS-00074,CLT0008,Nippon India MF,INE001A01036,SBIN,State Bank of India,2024-11-16,55597,783.65,43568589.05,44129833.33,-561244.28,INR,PORT-008,APAC,Banking,Equity,HDFC Bank Custody,In-house,True,Matched,6
POS-00075,CLT0014,Temasek Holdings,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,2025-05-13,31023,1364.43,42328711.89,44083521.91,-1754810.02,INR,PORT-043,APAC,Telecom,Equity,Deutsche Bank,Charles River,False,Matched,6
POS-00076,CLT0013,GIC Private Ltd Singapore,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-05-29,182143,2658.78,484278165.54,480341036.17,3937129.37,INR,PORT-030,APAC,Energy,Equity,HDFC Bank Custody,Bloomberg AIM,True,Matched,6
POS-00077,CLT0008,Nippon India MF,INE018A01030,LARSEN,Larsen & Toubro Ltd,2025-03-09,86520,3619.46,313155679.2,285030259.01,28125420.19,INR,PORT-002,APAC,Infrastructure,Equity,Citi India,Charles River,True,Pending,6
POS-00078,CLT0006,LIC of India,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-25,51449,2699.22,138872169.78,148473402.92,-9601233.14,INR,PORT-020,APAC,Energy,Equity,Citi India,In-house,True,Matched,10
POS-00079,CLT0009,Emirates NBD Asset Mgmt,INE467B01029,TCS,Tata Consultancy Services,2024-09-21,122725,4122.11,505885949.75,436673095.82,69212853.93,INR,PORT-019,EMEA,IT,Equity,HDFC Bank Custody,Charles River,True,Matched,4
POS-00080,CLT0008,Nippon India MF,INE038A01020,HINDALCO,Hindalco Industries Ltd,2024-03-11,68683,638.04,43822501.32,42070064.72,1752436.6,INR,PORT-037,APAC,Metals,Equity,Axis Bank Custody,In-house,True,Break,2
POS-00081,CLT0004,HDFC Pension Fund,INE018A01030,LARSEN,Larsen & Toubro Ltd,2024-12-18,6272,3723.48,23353666.56,20445324.35,2908342.21,INR,PORT-005,APAC,Infrastructure,Equity,Axis Bank Custody,Bloomberg AIM,True,Matched,5
POS-00082,CLT0014,Temasek Holdings,INE001A01036,SBIN,State Bank of India,2024-11-01,115719,,,77460394.38,14725989.78,INR,PORT-012,APAC,Banking,Equity,Deutsche Bank,In-house,True,Break,8
POS-00083,CLT0003,SBI Life Insurance,INE020B01018,NTPC,NTPC Ltd,2024-11-24,65915,328.13,21628688.95,22158976.38,-530287.43,INR,PORT-029,APAC,Utilities,Equity,Axis Bank Custody,In-house,True,Matched,5
POS-00084,CLT0013,GIC Private Ltd Singapore,INE467B01029,TCS,Tata Consultancy Services,2024-04-30,14290,3751.3,53606077.0,52716645.75,889431.25,INR,PORT-025,APAC,IT,Equity,Citi India,Simcorp,True,Matched,10
POS-00085,CLT0012,Vanguard Emerging Markets,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2024-03-08,34216,7411.71,253599069.36,235717359.65,17881709.71,INR,PORT-031,Americas,NBFC,Equity,Axis Bank Custody,In-house,True,Matched,5
POS-00086,CLT0013,GIC Private Ltd Singapore,INE001A01036,SBIN,State Bank of India,2024-03-01,118871,792.89,94251627.19,79369789.18,14881838.01,INR,PORT-039,APAC,Banking,Equity,Deutsche Bank,Simcorp,True,Matched,2
POS-00087,CLT0012,Vanguard Emerging Markets,INE361B01024,HCLTECH,HCL Technologies Ltd,2024-05-22,164229,1701.15,279378163.35,231114107.34,48264056.01,INR,PORT-048,Americas,IT,Equity,Axis Bank Custody,In-house,True,Matched,9
POS-00088,CLT0002,Aditya Birla Capital,INE090A01021,ICICIBANK,ICICI Bank Ltd,2024-07-17,62247,1283.42,79889044.74,77441494.82,2447549.92,INR,PORT-034,APAC,Banking,Equity,Citi India,In-house,True,Matched,7
POS-00089,CLT0007,ICICI Prudential AMC,INE038A01020,HINDALCO,Hindalco Industries Ltd,2024-02-10,61303,668.56,40984733.68,36794451.77,4190281.91,INR,PORT-035,APAC,Metals,Equity,Axis Bank Custody,Simcorp,True,Matched,9
POS-00090,CLT0010,Abu Dhabi Investment Auth,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,2025-02-08,14377,1742.83,25056666.91,22783694.44,2272972.47,INR,PORT-012,EMEA,Pharma,Equity,Citi India,Bloomberg AIM,True,Matched,4
POS-00091,CLT0012,Vanguard Emerging Markets,INE001A01036,SBIN,State Bank of India,2024-07-29,39968,776.95,31053137.6,30249574.31,803563.29,INR,PORT-017,Americas,Banking,Equity,Citi India,Charles River,True,Matched,0
POS-00092,CLT0006,LIC of India,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-05-05,24189,2632.32,63673188.48,61415230.69,2257957.79,INR,PORT-025,APAC,Conglomerate,Equity,HDFC Bank Custody,Charles River,True,Matched,8
POS-00093,CLT0004,HDFC Pension Fund,INE002A01018,RELIANCE,Reliance Industries Ltd,2025-05-01,82851,2800.93,232059851.43,233255829.58,-1195978.15,INR,PORT-044,APAC,Energy,Equity,HDFC Bank Custody,Simcorp,True,Matched,0
POS-00094,CLT0006,LIC of India,INE020B01018,NTPC,NTPC Ltd,2024-10-21,8207,331.65,2721851.55,2880116.19,-158264.64,INR,PORT-039,APAC,Utilities,Equity,Axis Bank Custody,Simcorp,True,Pending,9
POS-00095,CLT0012,Vanguard Emerging Markets,INE020B01018,NTPC,NTPC Ltd,2025-02-18,80317,379.67,30493955.39,25992798.55,4501156.84,INR,PORT-049,Americas,Utilities,Equity,Citi India,In-house,True,Matched,6
POS-00096,CLT0012,Vanguard Emerging Markets,INE213A01029,MARUTI,Maruti Suzuki India Ltd,2025-03-11,115749,13401.14,1551168553.86,1280091847.35,271076706.51,INR,PORT-015,Americas,Auto,Equity,Axis Bank Custody,In-house,True,Matched,3
POS-00097,CLT0004,HDFC Pension Fund,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-28,37832,2989.21,113087792.72,106416065.76,6671726.96,INR,PORT-040,APAC,Energy,Equity,Citi India,Simcorp,True,Matched,6
POS-00098,CLT0013,GIC Private Ltd Singapore,INE066A01021,ONGC,Oil & Natural Gas Corp,2024-08-19,73062,,,18001841.26,1989383.18,INR,PORT-026,APAC,Energy,Equity,Deutsche Bank,Simcorp,False,Break,4
POS-00099,CLT0011,BlackRock India Fund,INE031A01017,POWERGRID,Power Grid Corp of India,2024-03-08,88707,301.6,26754031.2,26350403.8,403627.4,INR,PORT-011,Americas,Utilities,Equity,HDFC Bank Custody,Bloomberg AIM,True,Matched,8
POS-00100,CLT0004,HDFC Pension Fund,INE018A01030,LARSEN,Larsen & Toubro Ltd,2024-03-24,67258,3955.06,266009425.48,253697164.31,12312261.17,INR,PORT-044,APAC,Infrastructure,Equity,Axis Bank Custody,Bloomberg AIM,True,Break,5
POS-00101,CLT0005,Kotak Mahindra AMC,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-25,166433,2767.29,460568376.57,442910950.14,17657426.43,INR,PORT-003,APAC,Energy,Equity,HDFC Bank Custody,Bloomberg AIM,True,Break,3
POS-00102,CLT0013,GIC Private Ltd Singapore,INE009A01021,INFY,Infosys Ltd,2024-06-02,83373,,,111605234.22,2730830.52,INR,PORT-008,APAC,IT,Equity,Deutsche Bank,In-house,True,Matched,2
POS-00103,CLT0007,ICICI Prudential AMC,INE414G01012,ADANIENT,Adani Enterprises Ltd,2025-03-08,136099,2409.45,327923735.55,337496799.66,-9573064.11,INR,PORT-031,APAC,Conglomerate,Equity,Citi India,Charles River,True,Matched,5
POS-00104,CLT0014,Temasek Holdings,INE213A01029,MARUTI,Maruti Suzuki India Ltd,2024-03-20,161863,,,1989557184.02,3855262.07,INR,PORT-017,APAC,Auto,Equity,Deutsche Bank,In-house,True,Matched,6
POS-00105,CLT0015,Norges Bank Investment Mgmt,INE075A01022,WIPRO,Wipro Ltd,2025-04-12,151306,555.49,84048969.94,72605080.22,11443889.72,INR,PORT-047,EMEA,IT,Equity,Citi India,Simcorp,True,Matched,8
POS-00106,CLT0002,Aditya Birla Capital,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,2025-03-25,167306,1730.6,289539763.6,288817368.18,722395.42,INR,PORT-043,APAC,Pharma,Equity,Axis Bank Custody,In-house,True,Matched,4
POS-00107,CLT0006,LIC of India,INE213A01029,MARUTI,Maruti Suzuki India Ltd,2024-07-04,184299,13806.62,2544546259.38,2357974379.95,186571879.43,INR,PORT-009,APAC,Auto,Equity,HDFC Bank Custody,Charles River,True,Matched,6
POS-00108,CLT0011,BlackRock India Fund,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-06-03,45988,2418.44,111219218.72,97485444.96,13733773.76,INR,PORT-039,Americas,Conglomerate,Equity,Axis Bank Custody,Bloomberg AIM,False,Matched,5
POS-00109,CLT0006,LIC of India,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2024-04-02,168435,6762.25,1138999578.75,1187536876.3,-48537297.55,INR,PORT-028,APAC,NBFC,Equity,Axis Bank Custody,In-house,True,Matched,7
POS-00110,CLT0002,Aditya Birla Capital,INE038A01020,HINDALCO,Hindalco Industries Ltd,2025-05-05,199365,626.74,124950020.1,119310335.34,5639684.76,INR,PORT-046,APAC,Metals,Equity,Citi India,Simcorp,True,Matched,4
