trade_id,client_id,client_name,security_id,ticker,security_name,trade_type,quantity,trade_price,trade_value,currency,trade_date,settlement_date,broker,portfolio_id,region,status,is_duplicate,validated,exception_flag
TRD-2024-00035,CLT0009,Emirates NBD Asset Mgmt,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,SELL,11254.0,1705.29,19191333.66,INR,2024-07-18,2024-07-20,Motilal Oswal,PORT-040,EMEA,Settled,False,True,False
TRD-2024-00036,CLT0014,Temasek Holdings,INE031A01017,POWERGRID,Power Grid Corp of India,SELL,28807.0,304.63,8775476.41,INR,2025-04-11,2025-04-13,Goldman Sachs India,PORT-022,APAC,Settled,False,True,False
TRD-2024-00037,CLT0012,Vanguard Emerging Markets,INE038A01020,HINDALCO,Hindalco Industries Ltd,BUY,38919.0,630.39,24534148.41,INR,2024-03-14,2024-03-16,Goldman Sachs India,PORT-047,Americas,Settled,False,True,False
TRD-2024-00038,CLT0015,Norges Bank Investment Mgmt,INE009A01021,INFY,Infosys Ltd,BUY,19710.0,1484.26,29254764.6,INR,2024-04-06,2024-04-08,Goldman Sachs India,PORT-006,EMEA,Settled,False,True,False
TRD-2024-00039,CLT0007,ICICI Prudential AMC,INE090A01021,ICICIBANK,ICICI Bank Ltd,SELL,6580.0,1275.95,8395751.0,INR,2025-02-10,2025-02-12,Goldman Sachs India,PORT-049,APAC,Pending,False,True,False
TRD-2024-00040,CLT0009,Emirates NBD Asset Mgmt,INE009A01021,INFY,Infosys Ltd,BUY,47686.0,1438.21,68582482.06,INR,2024-01-16,2024-01-18,Edelweiss,PORT-049,EMEA,Settled,False,True,False
TRD-2024-00041,CLT0010,Abu Dhabi Investment Auth,INE018A01030,LARSEN,Larsen & Toubro Ltd,SELL,35408.0,3496.62,123808320.96,INR,2025-04-28,2025-04-30,Kotak Securities,PORT-002,EMEA,Settled,False,False,False
TRD-2024-00042,CLT0006,LIC of India,INE031A01017,POWERGRID,Power Grid Corp of India,BUY,7005.0,313.28,,INR,2024-10-22,2024-10-24,,PORT-010,APAC,Settled,False,True,False
TRD-2024-00043,CLT0009,Emirates NBD Asset Mgmt,INE066A01021,ONGC,Oil & Natural Gas Corp,BUY,41256.0,278.88,11505473.28,INR,2024-06-09,2024-06-11,Kotak Securities,PORT-049,EMEA,Settled,False,True,False
TRD-2024-00044,CLT0002,Aditya Birla Capital,INE001A01036,SBIN,State Bank of India,BUY,8392.0,793.52,6659219.84,INR,2024-01-11,2024-01-13,ICICI Direct,PORT-037,APAC,Settled,False,True,False
TRD-2024-00045,CLT0014,Temasek Holdings,INE361B01024,HCLTECH,HCL Technologies Ltd,BUY,37685.0,1656.59,62428594.15,INR,2024-06-06,2024-06-08,Edelweiss,PORT-023,APAC,Settled,False,True,True
TRD-2024-00046,CLT0002,Aditya Birla Capital,INE038A01020,HINDALCO,Hindalco Industries Ltd,SELL,35162.0,679.64,23897501.68,INR,2025-03-14,2025-03-16,Kotak Securities,PORT-019,APAC,Settled,False,True,False
TRD-2024-00047,CLT0013,GIC Private Ltd Singapore,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,SELL,4666.0,7388.1,34472874.6,INR,2025-04-22,2025-04-24,Goldman Sachs India,PORT-014,APAC,Settled,False,False,True
TRD-2024-00048,CLT0010,Abu Dhabi Investment Auth,INE066A01021,ONGC,Oil & Natural Gas Corp,SELL,37347.0,263.12,9826742.64,INR,2024-06-29,2024-07-01,Kotak Securities,PORT-046,EMEA,Settled,False,True,False
TRD-2024-00049,CLT0004,HDFC Pension Fund,INE213A01029,MARUTI,Maruti Suzuki India Ltd,BUY,24133.0,12970.07,313006699.31,INR,2024-05-29,2024-05-31,ICICI Direct,PORT-042,APAC,Settled,False,True,False
TRD-2024-00050,CLT0007,ICICI Prudential AMC,INE031A01017,POWERGRID,Power Grid Corp of India,BUY,23500.0,310.17,7288995.0,INR,2025-03-25,2025-03-27,Motilal Oswal,PORT-016,APAC,Settled,False,True,False
TRD-2024-00051,CLT0003,SBI Life Insurance,INE038A01020,HINDALCO,Hindalco Industries Ltd,BUY,,,,INR,2024-08-21,2024-08-23,,PORT-035,APAC,Settled,False,True,False
TRD-2024-00052,CLT0005,Kotak Mahindra AMC,INE001A01036,SBIN,State Bank of India,BUY,19432.0,754.81,14667467.92,INR,2024-02-12,2024-02-14,Motilal Oswal,PORT-005,APAC,Pending,False,True,False
TRD-2024-00053,CLT0014,Temasek Holdings,INE018A01030,LARSEN,Larsen & Toubro Ltd,SELL,21289.0,3699.13,78750778.57,INR,2024-04-14,2024-04-16,Motilal Oswal,PORT-027,APAC,Pending,False,True,False
TRD-2024-00054,CLT0003,SBI Life Insurance,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,BUY,,,,INR,2024-04-19,2024-04-21,,PORT-032,APAC,Settled,False,False,False
TRD-2024-00055,CLT0009,Emirates NBD Asset Mgmt,INE467B01029,TCS,Tata Consultancy Services,SELL,41634.0,3825.59,159274614.06,INR,2024-05-18,2024-05-20,Zerodha Institutional,PORT-038,EMEA,Settled,False,True,False
TRD-2024-00056,CLT0015,Norges Bank Investment Mgmt,INE040A01034,HDFCBANK,HDFC Bank Ltd,SELL,32559.0,1604.15,52229519.85,INR,2024-12-21,2024-12-23,Kotak Securities,PORT-037,EMEA,Settled,False,True,False
TRD-2024-00057,CLT0002,Aditya Birla Capital,INE018A01030,LARSEN,Larsen & Toubro Ltd,SELL,17769.0,3785.48,67264194.12,INR,2025-01-21,2025-01-23,Zerodha Institutional,PORT-050,APAC,Settled,False,True,False
TRD-2024-00058,CLT0007,ICICI Prudential AMC,INE467B01029,TCS,Tata Consultancy Services,SELL,17524.0,4072.2,71361232.8,INR,2024-01-11,2024-01-13,ICICI Direct,PORT-007,APAC,Settled,False,True,False
TRD-2024-00059,CLT0009,Emirates NBD Asset Mgmt,INE040A01034,HDFCBANK,HDFC Bank Ltd,BUY,20092.0,1692.43,34004303.56,INR,2024-10-29,2024-10-31,ICICI Direct,PORT-033,EMEA,Settled,False,True,False
TRD-2024-00060,CLT0008,Nippon India MF,INE038A01020,HINDALCO,Hindalco Industries Ltd,BUY,48091.0,642.45,30896062.95,INR,2024-07-26,2024-07-28,Goldman Sachs India,PORT-001,APAC,Pending,False,True,False
TRD-2024-00061,CLT0007,ICICI Prudential AMC,INE018A01030,LARSEN,Larsen & Toubro Ltd,BUY,22979.0,3537.95,81298553.05,INR,2025-02-26,2025-02-28,Kotak Securities,PORT-012,APAC,Settled,False,True,False
TRD-2024-00062,CLT0004,HDFC Pension Fund,INE040A01034,HDFCBANK,HDFC Bank Ltd,SELL,4544.0,1645.14,7475516.16,INR,2024-03-28,2024-03-30,ICICI Direct,PORT-040,APAC,Settled,False,True,False
TRD-2024-00063,CLT0012,Vanguard Emerging Markets,INE090A01021,ICICIBANK,ICICI Bank Ltd,SELL,4444.0,1180.44,5245875.36,INR,2024-12-28,2024-12-30,Motilal Oswal,PORT-007,Americas,Settled,False,True,False
TRD-2024-00064,CLT0002,Aditya Birla Capital,INE361B01024,HCLTECH,HCL Technologies Ltd,BUY,3999.0,1599.18,6395120.82,INR,2024-12-31,2025-01-02,HDFC Securities,PORT-010,APAC,Settled,False,True,False
TRD-2024-00065,CLT0015,Norges Bank Investment Mgmt,INE361B01024,HCLTECH,HCL Technologies Ltd,SELL,9997.0,1618.62,16181344.14,INR,2025-05-18,2025-05-20,Nomura India,PORT-014,EMEA,Settled,False,False,False
TRD-2024-00066,CLT0011,BlackRock India Fund,INE154A01025,ITC,ITC Ltd,BUY,19080.0,442.4,8440992.0,INR,2025-03-02,2025-03-04,Zerodha Institutional,PORT-012,Americas,Settled,False,True,True
TRD-2024-00067,CLT0004,HDFC Pension Fund,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,SELL,25172.0,7118.35,179183106.2,INR,2024-02-20,2024-02-22,Kotak Securities,PORT-031,APAC,Settled,False,True,False
TRD-2024-00068,CLT0004,HDFC Pension Fund,INE040A01034,HDFCBANK,HDFC Bank Ltd,BUY,2403.0,1544.15,3710592.45,INR,2024-06-20,2024-06-22,Nomura India,PORT-027,APAC,Settled,False,True,False
TRD-2024-00069,CLT0001,Tata Investment Corp,INE361B01024,HCLTECH,HCL Technologies Ltd,BUY,753.0,1554.56,1170583.68,INR,2024-08-31,2024-09-02,Kotak Securities,PORT-007,APAC,Settled,False,False,False
TRD-2024-00070,CLT0013,GIC Private Ltd Singapore,INE002A01018,RELIANCE,Reliance Industries Ltd,BUY,30337.0,2769.11,84006490.07,INR,2024-08-24,2024-08-26,Kotak Securities,PORT-042,APAC,Settled,False,True,False
TRD-2024-00071,CLT0007,ICICI Prudential AMC,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,BUY,48809.0,1391.29,67907473.61,INR,2025-03-28,2025-03-30,Goldman Sachs India,PORT-010,APAC,Settled,True,True,False
TRD-2024-00072,CLT0009,Emirates NBD Asset Mgmt,INE090A01021,ICICIBANK,ICICI Bank Ltd,SELL,7431.0,1301.85,9674047.35,INR,2024-02-26,2024-02-28,ICICI Direct,PORT-031,EMEA,Pending,False,True,False
TRD-2024-00073,CLT0015,Norges Bank Investment Mgmt,INE154A01025,ITC,ITC Ltd,BUY,49879.0,455.77,22733351.83,INR,2025-03-14,2025-03-16,HDFC Securities,PORT-012,EMEA,Settled,False,True,False
TRD-2024-00074,CLT0012,Vanguard Emerging Markets,INE075A01022,WIPRO,Wipro Ltd,BUY,38616.0,508.03,19618086.48,INR,2024-02-12,2024-02-14,Kotak Securities,PORT-038,Americas,Settled,False,True,False
TRD-2024-00075,CLT0011,BlackRock India Fund,INE075A01022,WIPRO,Wipro Ltd,SELL,40537.0,495.18,20073111.66,INR,2024-12-11,2024-12-13,Edelweiss,PORT-021,Americas,Settled,False,True,True
TRD-2024-00076,CLT0003,SBI Life Insurance,INE414G01012,ADANIENT,Adani Enterprises Ltd,SELL,47299.0,2464.01,116545208.99,INR,2025-05-11,2025-05-13,Motilal Oswal,PORT-023,APAC,Pending,False,True,False
TRD-2024-00077,CLT0015,Norges Bank Investment Mgmt,INE040A01034,HDFCBANK,HDFC Bank Ltd,BUY,7031.0,1556.22,10941782.82,INR,2024-12-07,2024-12-09,ICICI Direct,PORT-011,EMEA,Pending,False,True,False
TRD-2024-00078,CLT0015,Norges Bank Investment Mgmt,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,SELL,16831.0,1676.47,28216666.57,INR,2024-08-07,2024-08-09,Nomura India,PORT-009,EMEA,Settled,False,True,True
TRD-2024-00079,CLT0004,HDFC Pension Fund,INE038A01020,HINDALCO,Hindalco Industries Ltd,SELL,20544.0,657.11,13499667.84,INR,2024-01-13,2024-01-15,Goldman Sachs India,PORT-043,APAC,Settled,False,True,False
TRD-2024-00080,CLT0005,Kotak Mahindra AMC,INE020B01018,NTPC,NTPC Ltd,SELL,40713.0,372.47,15164371.11,INR,2024-03-07,2024-03-09,Kotak Securities,PORT-004,APAC,Settled,False,True,False
TRD-2024-00081,CLT0004,HDFC Pension Fund,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,SELL,39941.0,7427.98,296680949.18,INR,2024-11-16,2024-11-18,Edelweiss,PORT-015,APAC,Settled,False,True,False
TRD-2024-00082,CLT0006,LIC of India,INE040A01034,HDFCBANK,HDFC Bank Ltd,BUY,7785.0,1575.29,12263632.65,INR,2025-05-09,2025-05-11,Motilal Oswal,PORT-028,APAC,Settled,False,True,True
TRD-2024-00083,CLT0003,SBI Life Insurance,INE075A01022,WIPRO,Wipro Ltd,BUY,48824.0,531.8,25964603.2,INR,2024-12-17,2024-12-19,Kotak Securities,PORT-023,APAC,Pending,True,True,False
TRD-2024-00084,CLT0005,Kotak Mahindra AMC,INE040A01034,HDFCBANK,HDFC Bank Ltd,BUY,1291.0,1627.86,2101567.26,INR,2024-07-11,2024-07-13,Nomura India,PORT-030,APAC,Settled,False,True,False
TRD-2024-00085,CLT0001,Tata Investment Corp,INE031A01017,POWERGRID,Power Grid Corp of India,BUY,8050.0,307.19,2472879.5,INR,2024-07-26,2024-07-28,ICICI Direct,PORT-025,APAC,Settled,False,True,False
TRD-2024-00086,CLT0013,GIC Private Ltd Singapore,INE020B01018,NTPC,NTPC Ltd,BUY,30033.0,368.72,11073767.76,INR,2024-10-24,2024-10-26,Goldman Sachs India,PORT-048,APAC,Settled,False,True,False
TRD-2024-00087,CLT0014,Temasek Holdings,INE001A01036,SBIN,State Bank of India,SELL,35707.0,818.14,29213324.98,INR,2025-05-01,2025-05-03,Nomura India,PORT-031,APAC,Cancelled,False,True,True
TRD-2024-00088,CLT0002,Aditya Birla Capital,INE018A01030,LARSEN,Larsen & Toubro Ltd,SELL,44946.0,3547.48,159445036.08,INR,2024-08-10,2024-08-12,Zerodha Institutional,PORT-029,APAC,Settled,False,False,False
TRD-2024-00089,CLT0010,Abu Dhabi Investment Auth,INE018A01030,LARSEN,Larsen & Toubro Ltd,SELL,45601.0,3562.09,162434866.09,INR,2024-09-13,2024-09-15,Motilal Oswal,PORT-010,EMEA,Cancelled,False,True,False
TRD-2024-00090,CLT0007,ICICI Prudential AMC,INE002A01018,RELIANCE,Reliance Industries Ltd,BUY,23890.0,2765.48,66067317.2,INR,2025-01-25,2025-01-27,Nomura India,PORT-002,APAC,Settled,False,True,False
TRD-2024-00091,CLT0002,Aditya Birla Capital,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,SELL,26604.0,1668.57,44390636.28,INR,2024-03-16,2024-03-18,Kotak Securities,PORT-036,APAC,Settled,False,True,False
TRD-2024-00092,CLT0004,HDFC Pension Fund,INE361B01024,HCLTECH,HCL Technologies Ltd,BUY,45235.0,1581.11,71521510.85,INR,2025-04-16,2025-04-18,Goldman Sachs India,PORT-039,APAC,Failed,False,True,False
TRD-2024-00093,CLT0008,Nippon India MF,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,BUY,2307.0,1394.29,3216627.03,INR,2024-09-13,2024-09-15,Motilal Oswal,PORT-045,APAC,Settled,False,True,False
TRD-2024-00094,CLT0008,Nippon India MF,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,SELL,20519.0,6858.44,140728330.36,INR,2025-04-21,2025-04-23,Kotak Securities,PORT-001,APAC,Settled,False,True,False
TRD-2024-00095,CLT0002,Aditya Birla Capital,INE154A01025,ITC,ITC Ltd,SELL,7124.0,467.28,3328902.72,INR,2024-12-17,2024-12-19,HDFC Securities,PORT-041,APAC,Cancelled,False,True,False
TRD-2024-00096,CLT0001,Tata Investment Corp,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,BUY,2177.0,1328.96,2893145.92,INR,2024-11-04,2024-11-06,Motilal Oswal,PORT-028,APAC,Settled,False,True,False
TRD-2024-00097,CLT0015,Norges Bank Investment Mgmt,INE154A01025,ITC,ITC Ltd,SELL,5779.0,443.13,2560848.27,INR,2025-01-05,2025-01-07,HDFC Securities,PORT-013,EMEA,Cancelled,False,True,False
TRD-2024-00098,CLT0005,Kotak Mahindra AMC,INE213A01029,MARUTI,Maruti Suzuki India Ltd,BUY,23093.0,12274.65,283458492.45,INR,2024-01-16,2024-01-18,Edelweiss,PORT-001,APAC,Settled,False,True,False
TRD-2024-00099,CLT0011,BlackRock India Fund,INE090A01021,ICICIBANK,ICICI Bank Ltd,SELL,25123.0,1267.95,31854707.85,INR,2025-05-11,2025-05-13,HDFC Securities,PORT-010,Americas,Cancelled,False,True,False
TRD-2024-00100,CLT0006,LIC of India,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,BUY,7117.0,1406.96,10013334.32,INR,2024-06-19,2024-06-21,Goldman Sachs India,PORT-047,APAC,Settled,False,True,False
TRD-2024-00101,CLT0002,Aditya Birla Capital,INE020B01018,NTPC,NTPC Ltd,BUY,17104.0,350.46,5994267.84,INR,2024-10-12,2024-10-14,Goldman Sachs India,PORT-027,APAC,Settled,False,True,False
TRD-2024-00102,CLT0001,Tata Investment Corp,INE154A01025,ITC,ITC Ltd,SELL,43889.0,486.05,21332248.45,INR,2024-07-20,2024-07-22,Nomura India,PORT-027,APAC,Settled,False,True,False
TRD-2024-00103,CLT0010,Abu Dhabi Investment Auth,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,BUY,8621.0,1358.87,11714818.27,INR,2024-02-09,2024-02-11,Goldman Sachs India,PORT-027,EMEA,Pending,False,True,False
TRD-2024-00104,CLT0010,Abu Dhabi Investment Auth,INE018A01030,LARSEN,Larsen & Toubro Ltd,SELL,31118.0,3637.98,113206661.64,INR,2024-02-11,2024-02-13,Kotak Securities,PORT-041,EMEA,Settled,True,True,False
TRD-2024-00105,CLT0003,SBI Life Insurance,INE038A01020,HINDALCO,Hindalco Industries Ltd,SELL,32907.0,664.33,21861107.31,INR,2024-06-03,2024-06-05,Zerodha Institutional,PORT-021,APAC,Pending,False,True,False
TRD-2024-00106,CLT0006,LIC of India,INE213A01029,MARUTI,Maruti Suzuki India Ltd,SELL,35993.0,12355.02,444694234.86,INR,2024-02-26,2024-02-28,Nomura India,PORT-017,APAC,Settled,False,True,False
TRD-2024-00107,CLT0011,BlackRock India Fund,INE075A01022,WIPRO,Wipro Ltd,BUY,26292.0,528.32,13890589.44,INR,2024-05-21,2024-05-23,ICICI Direct,PORT-050,Americas,Settled,False,True,False
TRD-2024-00108,CLT0011,BlackRock India Fund,INE361B01024,HCLTECH,HCL Technologies Ltd,BUY,,,,INR,2024-05-07,2024-05-09,,PORT-028,Americas,Settled,False,True,False
TRD-2024-00109,CLT0013,GIC Private Ltd Singapore,INE038A01020,HINDALCO,Hindalco Industries Ltd,BUY,47549.0,631.28,30016732.72,INR,2024-09-21,2024-09-23,Nomura India,PORT-035,APAC,Settled,False,True,False
TRD-2024-00110,CLT0014,Temasek Holdings,INE066A01021,ONGC,Oil & Natural Gas Corp,BUY,6703.0,283.31,1899026.93,INR,2024-04-03,2024-04-05,Edelweiss,PORT-020,APAC,Settled,False,True,False
TRD-2024-00111,CLT0012,Vanguard Emerging Markets,INE585B01010,AXISBANK,Axis Bank Ltd,BUY,7863.0,1071.86,8428035.18,INR,2024-01-27,2024-01-29,Nomura India,PORT-001,Americas,Pending,False,True,False
TRD-2024-00112,CLT0012,Vanguard Emerging Markets,INE038A01020,HINDALCO,Hindalco Industries Ltd,SELL,3564.0,692.17,2466893.88,INR,2024-04-13,2024-04-15,Zerodha Institutional,PORT-007,Americas,Settled,False,True,False
TRD-2024-00113,CLT0004,HDFC Pension Fund,INE040A01034,HDFCBANK,HDFC Bank Ltd,BUY,5963.0,1669.83,9957196.29,INR,2024-01-17,2024-01-19,Motilal Oswal,PORT-031,APAC,Pending,False,True,False
TRD-2024-00114,CLT0002,Aditya Birla Capital,INE467B01029,TCS,Tata Consultancy Services,SELL,42844.0,3941.47,168868340.68,INR,2024-01-24,2024-01-26,Nomura India,PORT-010,APAC,Settled,False,True,False
TRD-2024-00115,CLT0011,BlackRock India Fund,INE040A01034,HDFCBANK,HDFC Bank Ltd,SELL,6556.0,1633.26,10707652.56,INR,2024-05-25,2024-05-27,Goldman Sachs India,PORT-034,Americas,Settled,False,True,False
TRD-2024-00116,CLT0002,Aditya Birla Capital,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,SELL,22429.0,6903.65,154841965.85,INR,2024-09-28,2024-09-30,Kotak Securities,PORT-031,APAC,Failed,False,True,False
TRD-2024-00117,CLT0001,Tata Investment Corp,INE038A01020,HINDALCO,Hindalco Industries Ltd,BUY,31011.0,636.08,19725476.88,INR,2024-08-27,2024-08-29,Zerodha Institutional,PORT-030,APAC,Settled,False,True,False
