perf_id,client_id,client_name,security_id,ticker,security_name,portfolio_id,performance_date,period,portfolio_return,benchmark_return,benchmark_name,alpha,sharpe_ratio,volatility,region,currency,validated,data_complete
PERF-00033,CLT0015,Norges Bank Investment Mgmt,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,PORT-003,2024-04-12,6M,0.1791,0.1814,NIFTY Pharma,-0.0023,1.4,0.1175,EMEA,INR,True,True
PERF-00034,CLT0008,Nippon India MF,INE075A01022,WIPRO,Wipro Ltd,PORT-018,2024-03-12,1D,,0.0819,NIFTY IT,,,0.158,APAC,INR,True,False
PERF-00035,CLT0004,HDFC Pension Fund,INE018A01030,LARSEN,Larsen & Toubro Ltd,PORT-017,2024-05-23,3M,0.0006,0.0865,NIFTY Infrastructure,-0.0859,1.797,0.2046,APAC,INR,True,True
PERF-00036,CLT0006,LIC of India,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-047,2025-02-21,6M,-0.0641,0.0461,NIFTY Infrastructure,-0.1102,-0.456,0.2957,APAC,INR,True,True
PERF-00037,CLT0011,BlackRock India Fund,INE585B01010,AXISBANK,Axis Bank Ltd,PORT-002,2025-04-24,1D,-0.0025,-0.0156,NIFTY Bank,0.0131,0.216,0.302,Americas,INR,True,True
PERF-00038,CLT0002,Aditya Birla Capital,INE002A01018,RELIANCE,Reliance Industries Ltd,PORT-026,2025-04-12,1D,0.1382,-0.0593,NIFTY Energy,0.1975,2.458,0.1974,APAC,INR,True,True
PERF-00039,CLT0012,Vanguard Emerging Markets,INE001A01036,SBIN,State Bank of India,PORT-035,2024-07-05,1D,-0.0046,-0.0852,NIFTY Bank,0.0806,2.389,0.3297,Americas,INR,True,True
PERF-00040,CLT0015,Norges Bank Investment Mgmt,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-009,2025-03-21,1M,-0.1133,-0.0522,NIFTY Media,-0.0611,0.57,0.1736,EMEA,INR,True,True
PERF-00041,CLT0014,Temasek Holdings,INE002A01018,RELIANCE,Reliance Industries Ltd,PORT-033,2024-05-11,1D,0.1018,0.1097,NIFTY Energy,-0.0079,-0.313,0.3162,APAC,INR,True,True
PERF-00042,CLT0015,Norges Bank Investment Mgmt,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-038,2024-05-21,3M,0.0972,-0.0391,NIFTY Media,0.1363,0.405,0.336,EMEA,INR,True,True
PERF-00043,CLT0007,ICICI Prudential AMC,INE066A01021,ONGC,Oil & Natural Gas Corp,PORT-014,2024-05-16,1D,-0.0941,-0.055,NIFTY Energy,-0.0391,1.051,0.2762,APAC,INR,False,True
PERF-00044,CLT0006,LIC of India,INE002A01018,RELIANCE,Reliance Industries Ltd,PORT-023,2025-02-01,3M,-0.0576,-0.0475,NIFTY Energy,-0.0101,0.284,0.1125,APAC,INR,True,True
PERF-00045,CLT0004,HDFC Pension Fund,INE090A01021,ICICIBANK,ICICI Bank Ltd,PORT-004,2025-03-10,1D,-0.027,0.066,NIFTY Bank,-0.093,2.16,0.2951,APAC,INR,True,False
PERF-00046,CLT0003,SBI Life Insurance,INE002A01018,RELIANCE,Reliance Industries Ltd,PORT-009,2024-05-08,3M,-0.0792,0.1741,NIFTY Energy,-0.2533,1.118,0.2876,APAC,INR,True,False
PERF-00047,CLT0015,Norges Bank Investment Mgmt,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-031,2024-03-09,6M,-0.0007,0.0747,NIFTY Media,-0.0754,1.153,0.1395,EMEA,INR,True,True
PERF-00048,CLT0005,Kotak Mahindra AMC,INE038A01020,HINDALCO,Hindalco Industries Ltd,PORT-012,2024-09-13,YTD,-0.0352,-0.072,NIFTY Metal,0.0368,1.202,0.2808,APAC,INR,False,True
PERF-00049,CLT0002,Aditya Birla Capital,INE154A01025,ITC,ITC Ltd,PORT-019,2025-05-17,YTD,0.1339,-0.0231,NIFTY FMCG,0.157,1.155,0.2671,APAC,INR,True,True
PERF-00050,CLT0004,HDFC Pension Fund,INE009A01021,INFY,Infosys Ltd,PORT-034,2024-08-09,1M,0.042,0.031,NIFTY IT,0.011,2.158,0.2505,APAC,INR,True,True
PERF-00051,CLT0010,Abu Dhabi Investment Auth,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-045,2024-11-25,6M,-0.1199,-0.0542,NIFTY Infrastructure,-0.0657,1.907,0.0881,EMEA,INR,False,True
PERF-00052,CLT0002,Aditya Birla Capital,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,PORT-038,2024-06-05,3M,-0.0098,0.1746,NIFTY Pharma,-0.1844,0.337,0.2795,APAC,INR,True,True
PERF-00053,CLT0010,Abu Dhabi Investment Auth,INE040A01034,HDFCBANK,HDFC Bank Ltd,PORT-033,2025-04-17,1W,0.0586,-0.0861,NIFTY Bank,0.1447,1.965,0.3023,EMEA,INR,False,True
PERF-00054,CLT0006,LIC of India,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-041,2025-01-18,1Y,-0.0877,-0.0822,NIFTY IT,-0.0055,0.31,0.1418,APAC,INR,True,True
PERF-00055,CLT0015,Norges Bank Investment Mgmt,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-017,2024-04-17,6M,0.1724,-0.0116,NIFTY Media,0.184,1.017,0.1515,EMEA,INR,True,True
PERF-00056,CLT0002,Aditya Birla Capital,INE467B01029,TCS,Tata Consultancy Services,PORT-011,2024-01-08,1Y,-0.1219,0.1333,NIFTY IT,-0.2552,-0.241,0.3092,APAC,INR,True,True
PERF-00057,CLT0015,Norges Bank Investment Mgmt,INE066A01021,ONGC,Oil & Natural Gas Corp,PORT-011,2025-01-21,1W,0.084,0.1813,NIFTY Energy,-0.0973,0.99,0.3424,EMEA,INR,True,True
PERF-00058,CLT0007,ICICI Prudential AMC,INE213A01029,MARUTI,Maruti Suzuki India Ltd,PORT-010,2024-01-17,1W,0.0533,0.0658,NIFTY Auto,-0.0125,2.786,0.0803,APAC,INR,True,True
PERF-00059,CLT0006,LIC of India,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-044,2024-12-29,YTD,-0.084,-0.0032,NIFTY Infrastructure,-0.0808,0.502,0.1849,APAC,INR,True,True
PERF-00060,CLT0007,ICICI Prudential AMC,INE020B01018,NTPC,NTPC Ltd,PORT-006,2024-10-06,YTD,0.1136,-0.0832,NIFTY Infrastructure,0.1968,1.788,0.2992,APAC,INR,True,True
PERF-00061,CLT0014,Temasek Holdings,INE040A01034,HDFCBANK,HDFC Bank Ltd,PORT-018,2024-09-03,1W,-0.0748,0.0533,NIFTY Bank,-0.1281,2.82,0.1817,APAC,INR,True,True
PERF-00062,CLT0012,Vanguard Emerging Markets,INE090A01021,ICICIBANK,ICICI Bank Ltd,PORT-042,2024-06-24,1D,0.1222,0.1975,NIFTY Bank,-0.0753,2.996,0.1825,Americas,INR,False,True
PERF-00063,CLT0001,Tata Investment Corp,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,PORT-033,2024-02-04,3M,0.0126,0.1094,NIFTY Financial Services,-0.0968,0.872,0.1846,APAC,INR,True,True
PERF-00064,CLT0012,Vanguard Emerging Markets,INE066A01021,ONGC,Oil & Natural Gas Corp,PORT-023,2024-10-15,1M,-0.1206,0.0173,NIFTY Energy,-0.1379,1.726,0.3285,Americas,INR,True,True
PERF-00065,CLT0013,GIC Private Ltd Singapore,INE154A01025,ITC,ITC Ltd,PORT-028,2024-10-12,1D,0.0048,-0.0537,NIFTY FMCG,0.0585,2.617,0.1941,APAC,INR,True,True
PERF-00066,CLT0015,Norges Bank Investment Mgmt,INE020B01018,NTPC,NTPC Ltd,PORT-009,2025-03-06,6M,-0.0859,0.1905,NIFTY Infrastructure,-0.2764,2.87,0.2885,EMEA,INR,True,True
PERF-00067,CLT0004,HDFC Pension Fund,INE001A01036,SBIN,State Bank of India,PORT-006,2025-04-29,3M,-0.1105,0.0216,NIFTY Bank,-0.1321,0.487,0.1372,APAC,INR,True,True
PERF-00068,CLT0011,BlackRock India Fund,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-034,2024-01-08,1M,,-0.0196,NIFTY IT,,,0.2679,Americas,INR,True,False
PERF-00069,CLT0011,BlackRock India Fund,INE002A01018,RELIANCE,Reliance Industries Ltd,PORT-030,2024-12-05,YTD,,0.1308,NIFTY Energy,,,0.2348,Americas,INR,True,False
PERF-00070,CLT0010,Abu Dhabi Investment Auth,INE018A01030,LARSEN,Larsen & Toubro Ltd,PORT-038,2024-01-20,3M,0.1942,0.0847,NIFTY Infrastructure,0.1095,0.652,0.2228,EMEA,INR,True,True
PERF-00071,CLT0002,Aditya Birla Capital,INE467B01029,TCS,Tata Consultancy Services,PORT-034,2024-10-11,3M,0.2038,-0.0934,NIFTY IT,0.2972,1.318,0.0729,APAC,INR,True,True
PERF-00072,CLT0012,Vanguard Emerging Markets,INE090A01021,ICICIBANK,ICICI Bank Ltd,PORT-005,2024-10-26,3M,0.2222,-0.0639,NIFTY Bank,0.2861,2.584,0.1801,Americas,INR,True,True
PERF-00073,CLT0009,Emirates NBD Asset Mgmt,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-035,2025-04-05,1M,0.0221,0.0477,NIFTY Infrastructure,-0.0256,-0.086,0.1776,EMEA,INR,True,True
PERF-00074,CLT0009,Emirates NBD Asset Mgmt,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,PORT-030,2025-04-21,6M,0.1818,-0.0562,NIFTY Financial Services,0.238,0.546,0.0681,EMEA,INR,False,True
PERF-00075,CLT0015,Norges Bank Investment Mgmt,INE001A01036,SBIN,State Bank of India,PORT-002,2024-05-27,3M,0.2234,-0.075,NIFTY Bank,0.2984,1.3,0.2255,EMEA,INR,True,True
PERF-00076,CLT0009,Emirates NBD Asset Mgmt,INE467B01029,TCS,Tata Consultancy Services,PORT-050,2024-10-10,YTD,0.1064,-0.0759,NIFTY IT,0.1823,1.216,0.3032,EMEA,INR,True,True
PERF-00077,CLT0009,Emirates NBD Asset Mgmt,INE090A01021,ICICIBANK,ICICI Bank Ltd,PORT-040,2024-01-29,3M,0.0738,-0.0039,NIFTY Bank,0.0777,2.525,0.1858,EMEA,INR,True,True
PERF-00078,CLT0012,Vanguard Emerging Markets,INE467B01029,TCS,Tata Consultancy Services,PORT-013,2025-05-02,1D,,-0.0051,NIFTY IT,,,0.3463,Americas,INR,False,False
PERF-00079,CLT0003,SBI Life Insurance,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,PORT-043,2024-12-17,3M,0.004,-0.0411,NIFTY Pharma,0.0451,1.557,0.1532,APAC,INR,True,True
PERF-00080,CLT0014,Temasek Holdings,INE585B01010,AXISBANK,Axis Bank Ltd,PORT-002,2025-04-04,1D,0.104,0.0835,NIFTY Bank,0.0205,-0.128,0.2141,APAC,INR,True,True
PERF-00081,CLT0011,BlackRock India Fund,INE009A01021,INFY,Infosys Ltd,PORT-004,2024-03-15,1W,-0.0827,-0.0187,NIFTY IT,-0.064,0.274,0.2781,Americas,INR,True,True
PERF-00082,CLT0010,Abu Dhabi Investment Auth,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-019,2024-12-12,1Y,0.2324,-0.0867,NIFTY IT,0.3191,1.129,0.3342,EMEA,INR,True,True
PERF-00083,CLT0010,Abu Dhabi Investment Auth,INE002A01018,RELIANCE,Reliance Industries Ltd,PORT-028,2024-07-21,1W,0.1998,0.163,NIFTY Energy,0.0368,2.665,0.3384,EMEA,INR,True,True
PERF-00084,CLT0013,GIC Private Ltd Singapore,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-001,2024-12-30,1Y,-0.0072,0.0327,NIFTY Infrastructure,-0.0399,1.479,0.3069,APAC,INR,True,True
PERF-00085,CLT0003,SBI Life Insurance,INE414G01012,ADANIENT,Adani Enterprises Ltd,PORT-026,2024-08-12,3M,,0.1392,NIFTY 500,,,0.1606,APAC,INR,True,False
PERF-00086,CLT0011,BlackRock India Fund,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-002,2024-01-08,1W,-0.0045,0.0732,NIFTY Infrastructure,-0.0777,1.099,0.2498,Americas,INR,True,True
PERF-00087,CLT0006,LIC of India,INE090A01021,ICICIBANK,ICICI Bank Ltd,PORT-033,2025-05-18,YTD,0.1654,0.1067,NIFTY Bank,0.0587,,0.261,APAC,INR,True,False
PERF-00088,CLT0009,Emirates NBD Asset Mgmt,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-029,2025-02-24,1D,-0.0945,-0.0219,NIFTY Media,-0.0726,0.474,0.2237,EMEA,INR,True,True
PERF-00089,CLT0010,Abu Dhabi Investment Auth,INE154A01025,ITC,ITC Ltd,PORT-038,2024-06-01,1D,-0.0957,0.116,NIFTY FMCG,-0.2117,1.002,0.3342,EMEA,INR,False,True
PERF-00090,CLT0012,Vanguard Emerging Markets,INE414G01012,ADANIENT,Adani Enterprises Ltd,PORT-049,2024-11-11,3M,,0.1818,NIFTY 500,,,0.0938,Americas,INR,True,False
PERF-00091,CLT0015,Norges Bank Investment Mgmt,INE038A01020,HINDALCO,Hindalco Industries Ltd,PORT-029,2024-10-02,6M,0.0727,-0.0494,NIFTY Metal,0.1221,2.716,0.289,EMEA,INR,True,True
PERF-00092,CLT0015,Norges Bank Investment Mgmt,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-011,2024-08-13,1Y,0.0404,0.1585,NIFTY IT,-0.1181,0.551,0.1019,EMEA,INR,True,True
PERF-00093,CLT0002,Aditya Birla Capital,INE585B01010,AXISBANK,Axis Bank Ltd,PORT-010,2024-01-23,1D,0.2194,-0.0621,NIFTY Bank,0.2815,-0.424,0.1144,APAC,INR,True,True
PERF-00094,CLT0014,Temasek Holdings,INE090A01021,ICICIBANK,ICICI Bank Ltd,PORT-050,2024-01-19,1Y,-0.1358,-0.0447,NIFTY Bank,-0.0911,2.067,0.0941,APAC,INR,True,True
PERF-00095,CLT0009,Emirates NBD Asset Mgmt,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-035,2024-04-20,1D,-0.1069,0.1588,NIFTY Infrastructure,-0.2657,0.33,0.1336,EMEA,INR,True,True
PERF-00096,CLT0002,Aditya Birla Capital,INE414G01012,ADANIENT,Adani Enterprises Ltd,PORT-003,2024-06-03,1M,0.1792,0.1347,NIFTY 500,0.0445,2.114,0.1422,APAC,INR,True,True
PERF-00097,CLT0003,SBI Life Insurance,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-035,2025-04-18,YTD,0.0476,0.0074,NIFTY IT,0.0402,1.984,0.2055,APAC,INR,False,True
PERF-00098,CLT0010,Abu Dhabi Investment Auth,INE467B01029,TCS,Tata Consultancy Services,PORT-020,2025-05-06,3M,0.0473,0.0519,NIFTY IT,-0.0046,1.794,0.1275,EMEA,INR,False,True
PERF-00099,CLT0004,HDFC Pension Fund,INE075A01022,WIPRO,Wipro Ltd,PORT-011,2024-03-28,YTD,0.1664,0.0196,NIFTY IT,0.1468,0.671,0.1408,APAC,INR,True,True
PERF-00100,CLT0002,Aditya Birla Capital,INE414G01012,ADANIENT,Adani Enterprises Ltd,PORT-032,2025-04-22,1M,0.1286,0.153,NIFTY 500,-0.0244,-0.015,0.1585,APAC,INR,True,True
PERF-00101,CLT0015,Norges Bank Investment Mgmt,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-028,2025-02-14,YTD,-0.0306,-0.084,NIFTY IT,0.0534,-0.203,0.095,EMEA,INR,True,True
PERF-00102,CLT0002,Aditya Birla Capital,INE009A01021,INFY,Infosys Ltd,PORT-041,2024-08-09,1M,0.1174,0.1431,NIFTY IT,-0.0257,1.963,0.3474,APAC,INR,True,True
PERF-00103,CLT0002,Aditya Birla Capital,INE467B01029,TCS,Tata Consultancy Services,PORT-007,2024-12-19,1D,0.0138,0.0369,NIFTY IT,-0.0231,1.546,0.2947,APAC,INR,True,True
PERF-00104,CLT0007,ICICI Prudential AMC,INE075A01022,WIPRO,Wipro Ltd,PORT-012,2025-01-10,1Y,-0.0775,0.013,NIFTY IT,-0.0905,-0.435,0.0641,APAC,INR,True,True
PERF-00105,CLT0002,Aditya Birla Capital,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,PORT-014,2025-02-16,1W,-0.1361,0.0774,NIFTY Pharma,-0.2135,1.548,0.2741,APAC,INR,False,True
PERF-00106,CLT0011,BlackRock India Fund,INE002A01018,RELIANCE,Reliance Industries Ltd,PORT-019,2024-06-25,1W,0.169,0.1576,NIFTY Energy,0.0114,2.823,0.2925,Americas,INR,True,True
PERF-00107,CLT0003,SBI Life Insurance,INE020B01018,NTPC,NTPC Ltd,PORT-009,2025-01-27,YTD,-0.0392,0.1997,NIFTY Infrastructure,-0.2389,1.222,0.1126,APAC,INR,True,True
PERF-00108,CLT0010,Abu Dhabi Investment Auth,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-025,2024-09-08,1W,-0.1352,0.1743,NIFTY IT,-0.3095,-0.439,0.1829,EMEA,INR,False,True
PERF-00109,CLT0008,Nippon India MF,INE066A01021,ONGC,Oil & Natural Gas Corp,PORT-031,2024-02-07,1W,0.0807,-0.0771,NIFTY Energy,0.1578,0.485,0.0944,APAC,INR,True,True
PERF-00110,CLT0003,SBI Life Insurance,INE090A01021,ICICIBANK,ICICI Bank Ltd,PORT-036,2025-05-02,YTD,-0.1134,-0.0165,NIFTY Bank,-0.0969,-0.228,0.1193,APAC,INR,True,True
PERF-00111,CLT0014,Temasek Holdings,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-004,2024-06-08,1W,,0.1478,NIFTY Media,,,0.2053,APAC,INR,True,False
PERF-00112,CLT0005,Kotak Mahindra AMC,INE031A01017,POWERGRID,Power Grid Corp of India,PORT-017,2024-03-29,1W,0.0349,0.1552,NIFTY Infrastructure,-0.1203,0.542,0.067,APAC,INR,True,True
PERF-00113,CLT0011,BlackRock India Fund,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,PORT-045,2024-12-08,3M,0.0776,-0.0615,NIFTY Pharma,0.1391,2.294,0.2779,Americas,INR,True,True
PERF-00114,CLT0001,Tata Investment Corp,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,PORT-046,2025-02-10,6M,-0.1387,0.1551,NIFTY Pharma,-0.2938,0.76,0.0989,APAC,INR,True,True
PERF-00115,CLT0011,BlackRock India Fund,INE585B01010,AXISBANK,Axis Bank Ltd,PORT-024,2024-05-23,3M,0.1647,0.1689,NIFTY Bank,-0.0042,0.577,0.325,Americas,INR,True,True
PERF-00116,CLT0002,Aditya Birla Capital,INE020B01018,NTPC,NTPC Ltd,PORT-003,2025-02-20,3M,0.0502,0.1522,NIFTY Infrastructure,-0.102,0.226,0.1562,APAC,INR,False,True
PERF-00117,CLT0011,BlackRock India Fund,INE066A01021,ONGC,Oil & Natural Gas Corp,PORT-030,2024-10-23,1M,0.095,0.0432,NIFTY Energy,0.0518,2.631,0.1882,Americas,INR,True,True
PERF-00118,CLT0011,BlackRock India Fund,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,PORT-017,2024-08-04,6M,0.0484,0.019,NIFTY Media,0.0294,2.0,0.1159,Americas,INR,True,True
PERF-00119,CLT0007,ICICI Prudential AMC,INE467B01029,TCS,Tata Consultancy Services,PORT-018,2025-04-14,1D,0.0837,0.1957,NIFTY IT,-0.112,0.244,0.1405,APAC,INR,True,True
PERF-00120,CLT0007,ICICI Prudential AMC,INE467B01029,TCS,Tata Consultancy Services,PORT-044,2024-12-25,1M,-0.0477,0.0059,NIFTY IT,-0.0536,2.025,0.1361,APAC,INR,True,True
PERF-00121,CLT0005,Kotak Mahindra AMC,INE467B01029,TCS,Tata Consultancy Services,PORT-013,2024-07-23,1M,-0.112,-0.0951,NIFTY IT,-0.0169,2.805,0.0629,APAC,INR,True,True
PERF-00122,CLT0002,Aditya Birla Capital,INE038A01020,HINDALCO,Hindalco Industries Ltd,PORT-005,2025-01-26,YTD,0.0973,0.0682,NIFTY Metal,0.0291,0.525,0.2244,APAC,INR,True,True
PERF-00123,CLT0009,Emirates NBD Asset Mgmt,INE009A01021,INFY,Infosys Ltd,PORT-030,2025-04-09,6M,-0.0592,0.0238,NIFTY IT,-0.083,2.131,0.0609,EMEA,INR,True,True
PERF-00124,CLT0004,HDFC Pension Fund,INE361B01024,HCLTECH,HCL Technologies Ltd,PORT-023,2025-01-26,1D,,-0.0949,NIFTY IT,,,0.3406,APAC,INR,True,False
